peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","dmc_group_indexer",,,,,
localhost,"DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","dmc_group_kv_store",,,,,
localhost,"DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","dmc_group_license_master",,,,,
localhost,"DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","DESKTOP-TBDP9MC","dmc_group_search_head",,,,,
